Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/03/2020 19:10,Yes,98648,Sports team or club,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,1,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Prefer not to answer,,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/04/2020 16:13,Yes,98648,None,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,1,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, a BIG problem!","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/24/2020 16:11:12,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",no,Yes,2,"$15,000 to $29,999","Yes, somewhat",  Good paying jobs with benefits are hard to find,No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, a BIG problem!",Limited public transportation,"Yes, a BIG problem!",Lack of adequate insurance,Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:17,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat",Cost of rent or house payment,no,Sometimes,2,"$15,000 to $29,999","Yes, a BIG problem!",  Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Unable to get a driverís license, Limited public transportation","Yes, somewhat",Lack of adequate insurance,Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:21,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat",Cost of rent or house payment,no,Sometimes,2,"$15,000 to $29,999","Yes, somewhat",  Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:23,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,2,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed,   Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Unable to get a driverís license, Limited public transportation","Yes, somewhat",Lack of adequate insurance,Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 13:05,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,2,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Cost of care is not affordable, Language barrier (medical info hard to understand), Lack of transportation",Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 15:57,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,2,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Unable to get a driverís license, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
10/06/2020 19:24,Yes,98648,Friend network,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,2,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,65 years or older,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/04/2020 09:09,Yes,98635,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of rent or house payment,no,Sometimes,2,"$15,000 to $29,999",No,,No,No,No,n/a,No,,"Yes, somewhat",Cost of care is not affordable,Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/24/2020 16:13:19,Yes,98672,Faith group or church,I have housing and am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Sometimes,3,"$15,000 to $29,999","Yes, somewhat",  Good paying jobs with benefits are hard to find,No,No,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat",Lack of adequate insurance,Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:35,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",Yes,Sometimes,3,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)","Yes, many times","Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 14:16,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,3,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed,   Good paying jobs with benefits are hard to find, Lack of legal documents (green card, etc)","Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Unable to get a driverís license, Limited public transportation","Yes, somewhat","Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
11/12/2020 16:16,Yes,98648,Close friends,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,3,"$65,000 to $99,999",No,n/a,Sometimes,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
12/01/2020 12:47,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",no,Sometimes,4,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)","Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable, Language barrier (medical info hard to understand)",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:49,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Sometimes,4,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, n/a","Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license","Yes, a BIG problem!","Lack of adequate insurance, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 13:09,Yes,98605,"Extended family, Close friends",I have housing and am NOT worried about losing it,"Yes, a BIG problem!","Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,4,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of transportation",Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
10/28/2020 11:18:04,Yes,98648,Business owner,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of utilities, Not enough housing available to rent or buy, Too many people flocking in from the cities to escape the madness",no,Yes,4,"$65,000 to $99,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Its a small tourist town. You have to snag the steady jobs or commute ",No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/24/2020 16:09:10,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Sometimes,5,"$15,000 to $29,999","Yes, somewhat",  Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, a BIG problem!","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, somewhat",Cost of gasoline,"Yes, somewhat",Lack of adequate insurance,Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 12:26,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",no,Sometimes,5,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Language barrier (medical info hard to understand)",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 14:18,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",Yes,Sometimes,5,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 15:52,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",Yes,Yes,5,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, a BIG problem!","Unsure where to go or what services are available, Lack of transportation",Male,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
10/05/2020 07:47,Yes,98610,"Faith group or church, Community or civic volunteer group, Extended family","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,5,"$30,000 to $44,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),Strongly Agree,Agree,"Lack of childcare, no after school activities or programs for young children and teens. ",
12/01/2020 13:14,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",Yes,Sometimes,6,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 13:03,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,7,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
12/01/2020 14:20,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it, I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,98605,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, somewhat","Lack of adequate insurance, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
10/03/2020 19:25,Yes,98648,"Faith group or church, Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,,Female,18-64 years old,Human ,n/a (none),Strongly Agree,Strongly Agree,Garbage everywhere from homeless campers who have no access to trash removal. A can placed and picked up regularly would stop the litter and bless the homeless all along 14 for sure ,
9/29/2020 16:31:21,Yes,98672,"Community or civic volunteer group, Extended family, Close friends, Outdoor recreation, biking, wind sports","I have housing, but I AM WORRIED about losing it","Yes, somewhat",My business is down significantly due to Covid Lockdown,yes,Yes,10,"$65,000 to $99,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Covid lockdowns have destroyed local small businesses while Home Depot, Wal-Mart, and the big tech companies have taken over market share",No,No,No,"I think too much junk food is killing us. We have plenty of cheap, low quality food, filled with processed sugar which leads to obesity/diabetes/heart disease/cancer","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,Mixed/Donít know,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,"If we can demand people modify behavior and destroy local businesses to (hopefully) save a few lives in a sliver demographic (Covid 19), why canít we do similar things for other killers in our community? Processed sugar, alcohol, other drugs, limited childcare/early education all effect way more lives than C19. Our policies are fear driven, and our elected officials are reactionary. ",
10/20/2020 14:10:38,Yes,98650,Close friends,"I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,No,1,"Less than $15,000",No,n/a,Sometimes,Sometimes,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!",Native- go to toppenish,Female,18-64 years old,Native American/American Indian,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/03/2020 10:46,No,97014,"Faith group or church, Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",,Yes,2,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, somewhat",Not enough income to purchase food,,,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,65 years or older,Native American/American Indian,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,Thankful that WAGAP is available for those in need!!,
10/03/2020 18:50,Yes,98648,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,2,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses",No,No,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food",No,,"Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,Native American/American Indian,n/a (none),Neutral,Neutral,,
11/06/2020 01:36,Yes,97222,Sports team or club,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,2,"$100,000 or more","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,Native American/American Indian,n/a (none),Neutral,Disagree,Help the Tribal residents at the Treaty fishing access sites and the communities,
11/02/2020 11:01,Yes,97041,Cultural based leadership advocates,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,4,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",No,No,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough culturally sensitive/appropriate outreach done for communities",Female,18-64 years old,Native American/American Indian,n/a (none),Neutral,Neutral,,
10/06/2020 10:39,Yes,98671,"Sports team or club, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,6,"$15,000 to $29,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, somewhat",Not enough income to purchase food,,,,,Female,18-64 years old,Native American/American Indian,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/06/2020 10:39,Yes,98671,"Sports team or club, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,6,"$15,000 to $29,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, somewhat",Not enough income to purchase food,,,,,Female,18-64 years old,Native American/American Indian,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/28/2020 13:23:57,Yes,98610,"Community or civic volunteer group, Close friends","Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Sometimes,6,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,,Female,18-64 years old,Native American/American Indian,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/18/2020 11:45:06,Yes,98620,"Community or civic volunteer group, Kiwanis club",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,1,"$30,000 to $44,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Problem with variety, quality and quantity of stock in stores and higher prices","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Female,18-64 years old,Northern Norwegian Eskimo,n/a (none),Agree,Agree,,
10/28/2020 19:13:01,No,98837,Extended family,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,4,"$45,000 to $64,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Not enough jobs",No,No,"Yes, a BIG problem!","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)",No,,No,,Male,18-64 years old,Pirate,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,Nothing,
10/08/2020 14:19,No,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it",No,n/a,no,Yes,1,"$15,000 to $29,999",No,n/a,Sometimes,Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of gasoline, Unable to get a driverís license","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
